STATUS | wrapper  | 2014/06/23 17:38:39 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:38:39 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:38:39 | 
STATUS | wrapper  | 2014/06/23 17:38:39 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:38:40 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:38:41 | [2014-06-23 17:38:41,520][INFO ][node                     ] [Red Shift] version[1.2.1], pid[9687], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:38:41 | [2014-06-23 17:38:41,520][INFO ][node                     ] [Red Shift] initializing ...
INFO   | jvm 1    | 2014/06/23 17:38:41 | [2014-06-23 17:38:41,893][INFO ][plugins                  ] [Red Shift] loaded [transport-thrift, analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, marvel, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [marvel, bigdesk, segmentspy, rtf, kopf, head, inquisitor, paramedic]
INFO   | jvm 1    | 2014/06/23 17:38:44 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:38:44 | - ExecutionError[java.lang.IncompatibleClassChangeError: Implementing class]
INFO   | jvm 1    | 2014/06/23 17:38:44 | 	IncompatibleClassChangeError[Implementing class]
STATUS | wrapper  | 2014/06/23 17:38:46 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:39:48 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:39:48 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:39:48 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:39:48 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:39:48 | 
STATUS | wrapper  | 2014/06/23 17:39:48 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:39:48 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:39:50 | [2014-06-23 17:39:50,266][INFO ][node                     ] [Eson the Searcher] version[1.2.1], pid[9932], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:39:50 | [2014-06-23 17:39:50,277][INFO ][node                     ] [Eson the Searcher] initializing ...
INFO   | jvm 1    | 2014/06/23 17:39:50 | [2014-06-23 17:39:50,639][INFO ][plugins                  ] [Eson the Searcher] loaded [transport-thrift, analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, marvel, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [marvel, bigdesk, segmentspy, rtf, kopf, head, inquisitor, paramedic]
INFO   | jvm 1    | 2014/06/23 17:39:52 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:39:52 | - ExecutionError[java.lang.IncompatibleClassChangeError: Implementing class]
INFO   | jvm 1    | 2014/06/23 17:39:52 | 	IncompatibleClassChangeError[Implementing class]
STATUS | wrapper  | 2014/06/23 17:39:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:41:48 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:41:48 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:41:48 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:41:48 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:41:48 | 
STATUS | wrapper  | 2014/06/23 17:41:48 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:41:48 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:41:50 | [2014-06-23 17:41:50,063][INFO ][node                     ] [Hag] version[1.2.1], pid[10087], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:41:50 | [2014-06-23 17:41:50,064][INFO ][node                     ] [Hag] initializing ...
INFO   | jvm 1    | 2014/06/23 17:41:50 | [2014-06-23 17:41:50,328][INFO ][plugins                  ] [Hag] loaded [transport-thrift, analysis-mmseg, analysis-pinyin, mapper-attachments, analysis-ik, marvel, analysis-smartcn, analysis-ansj, DocumentPartialUpdate, river-email, analysis-string2int, analysis-stconvert], sites [marvel, bigdesk, segmentspy, rtf, kopf, head, inquisitor, paramedic]
INFO   | jvm 1    | 2014/06/23 17:41:52 | {1.2.1}: Initialization Failed ...
INFO   | jvm 1    | 2014/06/23 17:41:52 | - ExecutionError[java.lang.IncompatibleClassChangeError: Implementing class]
INFO   | jvm 1    | 2014/06/23 17:41:52 | 	IncompatibleClassChangeError[Implementing class]
STATUS | wrapper  | 2014/06/23 17:41:54 | <-- Wrapper Stopped
STATUS | wrapper  | 2014/06/23 17:43:02 | --> Wrapper Started as Console
STATUS | wrapper  | 2014/06/23 17:43:02 | Java Service Wrapper Community Edition 64-bit 3.5.14
STATUS | wrapper  | 2014/06/23 17:43:02 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2014/06/23 17:43:02 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2014/06/23 17:43:02 | 
STATUS | wrapper  | 2014/06/23 17:43:03 | Launching a JVM...
INFO   | jvm 1    | 2014/06/23 17:43:03 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/06/23 17:43:04 | [2014-06-23 17:43:04,802][INFO ][node                     ] [Hippolyta] version[1.2.1], pid[10213], build[6c95b75/2014-06-03T15:02:52Z]
INFO   | jvm 1    | 2014/06/23 17:43:04 | [2014-06-23 17:43:04,807][INFO ][node                     ] [Hippolyta] initializing ...
